MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
60.43994710238466,92.31102572063972,0.3591634715131419,0.33388352936049015,AutoETS,14,T681,0.9940521375701602
73.55113426508355,106.91193457808981,0.43615891071128854,0.40631260406785596,AutoTheta,7,T681,0.9940521375701602
59.39976591809344,88.83219089891487,0.3529557073574699,0.32813734026477165,AutoTheta,14,T681,0.9940521375701602
33.11428571428561,41.35891681366871,0.3743724622164567,0.14116806844866836,Naive,7,T2614,0.9913426358251989
61.75,96.59477581259617,0.7047730852439817,0.26324373419731273,Naive,14,T2614,0.9913426358251989
64.71428571428598,82.8284285220272,0.7352927150174692,0.2758806514549061,SeasonalNaive,7,T2614,0.9913426358251989
87.66428571428592,110.77420083859138,1.000940493342066,0.373717796391397,SeasonalNaive,14,T2614,0.9913426358251989
33.11566136818016,41.36045801927317,0.37438805003386527,0.1411739329388411,AutoETS,7,T2614,0.9913426358251989
61.75,96.59368804704037,0.7047730861774267,0.26324373419731273,AutoETS,14,T2614,0.9913426358251989
32.88683718027226,41.506574871948516,0.37180526021750293,0.14019844251455696,AutoTheta,7,T2614,0.9913426358251989
64.29344835596319,101.05687154833427,0.7335815398546257,0.2740865980509446,AutoTheta,14,T2614,0.9913426358251989
2108.5714285714284,2309.013394751719,5.098778033138203,43.9952053068494,Naive,7,T2194,0.9664462666556688
2237.1428571428573,2375.575118336009,5.409344251566011,46.67783977677925,Naive,14,T2194,0.9664462666556688
2144.285714285714,2345.2413826421243,5.18239013942552,44.74038154849658,SeasonalNaive,7,T2194,0.9664462666556688
2274.285714285714,2408.129090037682,5.4963174956727245,47.45282306809231,SeasonalNaive,14,T2194,0.9664462666556688
5558.416857174205,8078.649791538365,12.687859796485448,115.97600512784705,AutoETS,7,T2194,0.9664462666556688
5515.110025572963,8077.969548397254,12.592473864903967,115.07241091155976,AutoETS,14,T2194,0.9664462666556688
2099.5780041093626,2303.4920510390384,5.077661949455976,43.80755809212436,AutoTheta,7,T2194,0.9664462666556688
2230.616156039789,2373.6571065137196,5.394008315402356,46.54166058402576,AutoTheta,14,T2194,0.9664462666556688
